class combined
population/area	coverage	average_hit	pc90
World	258	1.94	16.75
World	259	1.79	14.8
World	260	0.4	13.01
World	261	0.22	12.61
World	262	0.63	12.38
World	263	1.81	11.75
World	264	0.0	9.94
World	265	0.23	9.94
World	266	0.0	9.72
World	267	0.0	9.72
World	268	0.0	9.72
World	269	0.0	9.72
World	270	0.0	9.72
World	271	0.0	9.72
World	272	0.0	9.72
World	273	0.0	9.72
World	274	0.0	9.72
World	275	0.0	9.72
World	276	0.0	9.72
World	277	0.0	9.72
World	278	0.0	9.72
World	279	0.0	9.72
World	280	0.0	9.72
World	281	0.27	9.72
World	282	0.0	9.45
World	283	0.0	9.45
World	284	0.0	9.45
World	285	0.0	9.45
World	286	0.0	9.45
World	287	0.64	9.45
World	288	0.0	8.8
World	289	0.0	8.8
World	290	0.0	8.8
World	291	0.0	8.8
World	292	0.0	8.8
World	293	0.0	8.8
World	294	0.0	8.8
World	295	0.0	8.8
World	296	0.0	8.8
World	297	0.0	8.8
World	298	0.0	8.8
World	299	0.0	8.8
World	300	0.0	8.8
World	301	0.1	8.8
World	302	0.0	8.7
World	303	0.0	8.7
World	304	0.0	8.7
World	305	0.38	8.7
World	306	1.08	8.33
World	307	0.0	7.25
World	308	1.27	7.25
World	309	0.0	5.97
World	310	0.0	5.97
World	311	0.0	5.97
World	312	1.15	5.97
World	313	0.0	4.82
World	314	0.0	4.82
World	315	0.0	4.82
World	316	0.0	4.82
World	317	0.0	4.82
World	318	0.0	4.82
World	319	0.0	4.82
World	320	0.0	4.82
World	321	0.0	4.82
World	322	0.07	4.82
World	323	0.0	4.75
World	324	0.0	4.75
World	325	0.0	4.75
World	326	0.0	4.75
World	327	0.0	4.75
World	328	0.16	4.75
World	329	0.0	4.59
World	330	0.0	4.59
World	331	0.0	4.59
World	332	0.0	4.59
World	333	0.0	4.59
World	334	0.0	4.59
World	335	0.61	4.59
World	336	0.0	3.98
World	337	0.08	3.98
World	338	0.22	3.9
World	339	0.0	3.68
World	340	0.0	3.68
World	341	0.0	3.68
World	342	0.0	3.68
World	343	0.0	3.68
World	344	0.0	3.68
World	345	0.0	3.68
World	346	0.0	3.68
World	347	0.0	3.68
World	348	0.0	3.68
World	349	0.29	3.68
World	350	0.0	3.39
World	351	0.0	3.39
World	352	0.0	3.39
World	353	0.29	3.39
World	354	0.0	3.1
World	355	0.69	3.1
World	356	0.0	2.41
World	357	0.0	2.41
World	358	0.0	2.41
World	359	0.0	2.41
World	360	0.0	2.41
World	361	0.0	2.41
World	362	0.0	2.41
World	363	0.0	2.41
World	364	0.0	2.41
World	365	0.0	2.41
World	366	0.0	2.41
World	367	0.0	2.41
World	368	0.0	2.41
World	369	0.0	2.41
World	370	0.0	2.41
World	371	0.0	2.41
World	372	0.0	2.41
World	373	0.0	2.41
World	374	0.0	2.41
World	375	0.0	2.41
World	376	0.0	2.41
World	377	0.0	2.41
World	378	0.0	2.41
World	379	0.0	2.41
World	380	0.0	2.41
World	381	0.0	2.41
World	382	0.0	2.41
World	383	0.0	2.41
World	384	0.39	2.41
World	385	1.11	2.03
World	386	0.0	0.91
World	387	0.14	0.91
World	388	0.0	0.77
World	389	0.0	0.77
World	390	0.0	0.77
