class combined
population/area	coverage	average_hit	pc90
World	258	0.0	45.13
World	259	0.0	45.13
World	260	0.15	45.13
World	261	0.0	44.98
World	262	0.0	44.98
World	263	0.0	44.98
World	264	0.0	44.98
World	265	0.0	44.98
World	266	0.0	44.98
World	267	0.24	44.98
World	268	0.0	44.73
World	269	0.0	44.73
World	270	0.0	44.73
World	271	0.0	44.73
World	272	0.0	44.73
World	273	0.66	44.73
World	274	0.0	44.07
World	275	0.0	44.07
World	276	0.0	44.07
World	277	0.0	44.07
World	278	0.0	44.07
World	279	0.0	44.07
World	280	1.05	44.07
World	281	0.0	43.03
World	282	0.0	43.03
World	283	1.32	43.03
World	284	0.0	41.71
World	285	0.0	41.71
World	286	0.0	41.71
World	287	0.0	41.71
World	288	0.0	41.71
World	289	5.42	41.71
World	290	0.0	36.28
World	291	0.0	36.28
World	292	0.0	36.28
World	293	0.0	36.28
World	294	0.0	36.28
World	295	0.0	36.28
World	296	0.39	36.28
World	297	0.0	35.89
World	298	0.0	35.89
World	299	0.0	35.89
World	300	0.0	35.89
World	301	0.0	35.89
World	302	0.0	35.89
World	303	0.63	35.89
World	304	0.0	35.26
World	305	0.0	35.26
World	306	0.0	35.26
World	307	0.0	35.26
World	308	0.0	35.26
World	309	0.0	35.26
World	310	0.42	35.26
World	311	0.0	34.84
World	312	0.0	34.84
World	313	0.0	34.84
World	314	0.0	34.84
World	315	0.0	34.84
World	316	0.0	34.84
World	317	0.0	34.84
World	318	0.0	34.84
World	319	0.0	34.84
World	320	0.0	34.84
World	321	0.0	34.84
World	322	0.0	34.84
World	323	1.86	34.84
World	324	0.0	32.98
World	325	0.0	32.98
World	326	0.0	32.98
World	327	0.0	32.98
World	328	0.0	32.98
World	329	0.0	32.98
World	330	0.0	32.98
World	331	0.0	32.98
World	332	0.0	32.98
World	333	0.0	32.98
World	334	0.0	32.98
World	335	0.0	32.98
World	336	0.23	32.98
World	337	0.0	32.75
World	338	0.0	32.75
World	339	0.0	32.75
World	340	0.0	32.75
World	341	0.0	32.75
World	342	0.0	32.75
World	343	0.0	32.75
World	344	0.0	32.75
World	345	0.0	32.75
World	346	1.08	32.75
World	347	0.0	31.67
World	348	0.0	31.67
World	349	0.0	31.67
World	350	0.0	31.67
World	351	0.0	31.67
World	352	0.0	31.67
World	353	0.1	31.67
World	354	0.0	31.57
World	355	0.0	31.57
World	356	0.0	31.57
World	357	0.0	31.57
World	358	0.0	31.57
World	359	0.54	31.57
World	360	0.16	31.03
World	361	0.0	30.86
World	362	0.0	30.86
World	363	0.0	30.86
World	364	0.0	30.86
World	365	0.0	30.86
World	366	0.64	30.86
World	367	0.0	30.22
World	368	0.0	30.22
World	369	0.0	30.22
World	370	0.0	30.22
World	371	0.0	30.22
World	372	0.0	30.22
World	373	0.0	30.22
World	374	0.0	30.22
World	375	0.0	30.22
World	376	0.0	30.22
World	377	0.0	30.22
World	378	0.0	30.22
World	379	0.0	30.22
World	380	0.0	30.22
World	381	0.0	30.22
World	382	0.0	30.22
World	383	0.0	30.22
World	384	0.0	30.22
World	385	0.0	30.22
World	386	0.0	30.22
World	387	0.0	30.22
World	388	0.0	30.22
World	389	0.0	30.22
World	390	0.0	30.22
World	391	0.0	30.22
World	392	0.0	30.22
World	393	0.44	30.22
World	394	0.0	29.78
World	395	0.0	29.78
World	396	0.0	29.78
World	397	0.0	29.78
World	398	0.0	29.78
World	399	0.0	29.78
World	400	0.0	29.78
World	401	0.0	29.78
World	402	0.0	29.78
World	403	0.28	29.78
World	404	0.0	29.5
World	405	0.0	29.5
World	406	0.0	29.5
World	407	0.0	29.5
World	408	0.0	29.5
World	409	1.11	29.5
World	410	0.0	28.38
World	411	0.0	28.38
World	412	0.0	28.38
World	413	0.0	28.38
World	414	0.0	28.38
World	415	0.0	28.38
World	416	0.3	28.38
World	417	0.0	28.09
World	418	0.0	28.09
World	419	0.0	28.09
World	420	2.88	28.09
World	421	0.0	25.21
World	422	0.14	25.21
World	423	0.0	25.07
World	424	0.0	25.07
World	425	0.0	25.07
World	426	0.0	25.07
World	427	0.0	25.07
World	428	0.0	25.07
World	429	1.12	25.07
World	430	0.0	23.95
World	431	0.0	23.95
World	432	0.0	23.95
World	433	0.0	23.95
World	434	0.0	23.95
World	435	0.0	23.95
World	436	0.0	23.95
World	437	0.0	23.95
World	438	0.0	23.95
World	439	0.0	23.95
World	440	0.0	23.95
World	441	0.0	23.95
World	442	0.0	23.95
World	443	0.0	23.95
