,FEL_mean_alpha,FEL_mean_beta,FEL_mean_lrt,FUBAR_mean_alpha,FUBAR_mean_beta,FUBAR_mean_prob_neg,FUBAR_mean_prob_pos,ProtLearn_aaindex1_ARGP820101,ProtLearn_aaindex1_CHOC750101,ProtLearn_aaindex1_DAYM780101,ProtLearn_aaindex1_DAYM780201,ProtLearn_aaindex1_GRAR740102,ProtLearn_aaindex1_GRAR740103,ProtLearn_aaindex1_JOND750101,ProtLearn_aaindex1_JOND750102,ProtLearn_aaindex1_KYTJ820101,ProtLearn_length,SLAC_mean_dN/dS,SLAC_mean_n,SLAC_mean_s,allergenicity_blast_score,allergenicity_hybrid_score,allergenicity_merci_score,bcell_avg_peptide_length,bcell_num_peptides,cluster_conservation_bit_score_normalized,cluster_conservation_e_value_average,cluster_conservation_percent_identity/num_strain,deeplocpro_prob_cytoplasmic,deeplocpro_prob_extracellular,deeplocpro_prob_periplasmic,deeptmhmm_proportion_outside,dssp_percent_helix,dssp_percent_loop,dssp_percent_sheet,ellipro_mean_discontinuous_score,ellipro_mean_linear_score,ellipro_med_discontinuous_score,ellipro_med_linear_score,ellipro_num_discontinuous_epitopes,ellipro_num_linear_epitopes,ifnepitope2_mean_ml_score,ifnepitope2_mean_total_score,ifnepitope2_med_ml_score,ifnepitope2_med_total_score,mhci_num_peptides,mhci_num_strong_binders,mhci_num_weak_binders,mhci_percentile,mhci_score,mhcii_num_peptides,mhcii_num_strong_binders,mhcii_num_weak_binders,mhcii_percentile,mhcii_score,rate4site_deeptmhmm_max_outside_scores,rate4site_deeptmhmm_mean_outside_scores,rate4site_deeptmhmm_nan,rate4site_max_per_site_score,rate4site_mean_per_site_score,rate4site_median_per_site_score,signalp_prob_other,signalp_prob_signalp,targetp_prob_SP,targetp_prob_mTP,targetp_prob_noTP
ProtLearn_aaindex1_GRAR740102,-0.01642459847813019,-0.011550197126711587,-0.04366650276870989,-0.04954702892123059,-0.043703199243612934,-0.05128621175916604,-0.04936882031343333,0.1626923906638839,0.9994025103611641,0.9971854105550723,0.9992686514613381,1.0000629165218986,0.998356967634345,0.9984979493100961,0.9997267376970718,0.07990160262069348,0.6068434144634216,-0.034113840653169705,-0.03501793749567625,-0.050250162782111356,-0.016142647193106985,-0.04964485280687851,-0.04192677481208458,-0.0637528816967146,-0.04938368372297174,-0.06445660695356614,-0.017830774537703792,-0.05216672025471641,-0.07550417999312374,-0.03582410008192682,-0.014323941750980056,-0.04531984301474579,0.8557276781083418,0.9343915904627647,0.8473995442429547,0.9870117874620298,0.9870117874620298,0.9864451535058631,0.9864451535058631,0.808966199705771,0.808966199705771,-0.10640996749652339,-0.10640996749652339,-0.10638239179198627,-0.10638239179198627,-0.07021612815177646,-0.06982425988810859,-0.07023652050866763,-0.09025278265162881,-0.09018121353826668,-0.06701229295387155,-0.06417559328069436,-0.06729681732045352,-0.08956905196713645,-0.08938729283597657,-0.0396667824786953,-0.014025082999467255,-0.003618396407133528,-0.040081619147153844,-0.02665042185962237,-0.0020735078341234453,-0.09974552085729625,-0.033587085558611944,-0.034745080590956254,-0.02475981954056909,-0.09821950748568241
ProtLearn_aaindex1_GRAR740103,-0.016407510626609913,-0.011538180513106355,-0.04362107293876836,-0.04949548109955235,-0.04365773123533017,-0.05123285452350846,-0.04931745789672813,0.17846644249054863,0.9997016061584795,0.994463207029828,0.9979254040976822,0.998356967634345,1.0000629803598289,0.9977700811170591,0.9986866152927406,0.08603544366596937,0.6020770965255102,-0.0340783492379823,-0.03498150547468821,-0.05019788343283917,-0.016125852678541004,-0.04959320321102118,-0.04188315496325388,-0.06368655436591952,-0.049332305842647084,-0.06438954747989901,-0.01781222372635826,-0.052112446954142196,-0.07542562682674858,-0.035786829344145,-0.01430903938425524,-0.045272693079884845,0.8653731880495038,0.9282244287870466,0.83960797591092,0.9859145554318101,0.9859145554318101,0.9854090445026471,0.9854090445026471,0.808185097527704,0.808185097527704,-0.10629926051471836,-0.10629926051471836,-0.10627171349943952,-0.10627171349943952,-0.07014307657771249,-0.06975161600661091,-0.07016344771876909,-0.09015888530909685,-0.09008739065492993,-0.06694257459128498,-0.06410882616850755,-0.06722680294392556,-0.0894758659654894,-0.08929429593320108,-0.039625513884507815,-0.014010491559915413,-0.0036146318937648057,-0.04003991896449195,-0.026622695248691913,-0.0020713505945390057,-0.09964174744374789,-0.033552142169780044,-0.03470893244529575,-0.02473405987767429,-0.09811732170850489
ProtLearn_aaindex1_JOND750101,-0.016409784800358564,-0.011539779770167813,-0.04362711906613188,-0.049502341453104025,-0.043663782443741306,-0.05123995568684062,-0.04932429357525671,0.168092838502927,0.998635814055663,0.9960885235966779,0.998058152124598,0.9984979493100961,0.9977700811170591,1.0000628729995198,0.9988250439841574,0.0840226130565406,0.6084543327551463,-0.03408307268988214,-0.034986354109149145,-0.05020484114332615,-0.016128087812905662,-0.04960007710941022,-0.041888960205359184,-0.06369538168246906,-0.049339143579185674,-0.06439847223526904,-0.017814692601285598,-0.052119670033958884,-0.07543608124511927,-0.03579178960104803,-0.014311022698024096,-0.04527896813113939,0.8571020381850106,0.9331851867623852,0.8462622105815408,0.9860191248654644,0.9860191248654644,0.985405051401034,0.985405051401034,0.8113086216328038,0.8113086216328038,-0.10631399419329321,-0.10631399419329321,-0.10628644335984123,-0.10628644335984123,-0.07015279880474883,-0.06976128397499842,-0.07017317276936096,-0.09017138184040266,-0.09009987727667199,-0.06695185321064837,-0.06411771201431672,-0.06723612095894631,-0.08948826782645129,-0.08930667262753032,-0.039631006204793644,-0.014012433493267749,-0.0036151329021841356,-0.040045468723665364,-0.026626385304791007,-0.002071637695443808,-0.09965555835336588,-0.033556792686404484,-0.03471374329959365,-0.024737488158231565,-0.09813092132409565
ProtLearn_aaindex1_JOND750102,-0.016430123403577423,-0.011554082395390127,-0.04368119135745416,-0.049563695608168715,-0.04371790017635943,-0.051303463474439946,-0.049385427054353774,0.16787316984563455,0.999698519211941,0.9972351875322688,0.9995701576285402,0.9997267376970718,0.9986866152927406,0.9988250439841574,1.000063013659689,0.08389487768076288,0.6079048219555694,-0.034125315906374375,-0.03502971687002332,-0.050267065990031314,-0.01614807727545472,-0.049661552399928456,-0.0419408781891252,-0.06377432696485197,-0.049400295463662994,-0.0644782889416197,-0.01783677247428137,-0.05218426815645772,-0.07552957817658322,-0.03583615063417773,-0.014328760055085763,-0.04533508775599554,0.8579100289679505,0.9339192153945218,0.847619181115076,0.9872536166453548,0.9872536166453548,0.9866872964883082,0.9866872964883082,0.8109966752966127,0.8109966752966127,-0.10644576180455682,-0.10644576180455682,-0.10641817682407287,-0.10641817682407287,-0.0702397475342378,-0.06984774745346958,-0.07026014675073398,-0.09028314198712264,-0.09021154879925938,-0.06703483462654035,-0.06419718074104365,-0.06731945470175771,-0.08959918130851095,-0.08941736103700396,-0.039680125636898766,-0.014029800773120332,-0.0036196135675051967,-0.040095101848595875,-0.02665938655937477,-0.002074205323088711,-0.09977907337105477,-0.033598383621328325,-0.03475676818138197,-0.0247681482773251,-0.09825254667729706
ProtLearn_aaindex1_KYTJ820101,-0.00137870631522016,-0.0009695414924047292,-0.0036654340872296375,-0.004159054589069774,-0.0036685144463484212,-0.004305044298661597,-0.004144095481647818,0.4998897844743736,0.08481140109931688,0.082115570032287,0.08188619155404422,0.07990160262069348,0.08603544366596937,0.0840226130565406,0.08389487768076288,1.0000629173861293,0.01700105387104313,-0.0028635687872409356,-0.002939460080899913,-0.004218076737814078,-0.0013550388862864316,-0.0041672660780204375,-0.003519398619528008,-0.005351515942735463,-0.004145343139337846,-0.005410587734176383,-0.0014967429184422351,-0.0043789555498277176,-0.006337938179776369,-0.0030071306209279057,-0.0012023739257442,-0.003804218036283384,0.15177283267979472,0.04021196459686046,0.018811179761059896,0.08900050094291569,0.08900050094291569,0.08719799901341377,0.08719799901341377,0.0332564985425635,0.0332564985425635,-0.00893221800126027,-0.00893221800126027,-0.008929903253776952,-0.008929903253776952,-0.005894050892145882,-0.005861156861246281,-0.005895762658267027,-0.007575958801895653,-0.00756995117932276,-0.005625115987821861,-0.005386999009863463,-0.005648999405219444,-0.0075185653859241985,-0.007503308242054605,-0.003329691351703995,-0.0011772872578041497,-0.00030373381633209815,-0.00336451338618784,-0.002237077817766245,-0.0001740534692139317,-0.008372793995785537,-0.0028193521461822085,-0.0029165560483788164,-0.002078377721668345,-0.008244698062399082
ProtLearn_length,-0.009987308875919382,-0.00702333067294295,-0.0265522990569899,-0.03012807176865428,-0.02657461308981073,-0.031185617024161835,-0.030019708424930066,0.0695786153329164,0.6047049108767409,0.6021827650182753,0.6110009400383036,0.6068434144634216,0.6020770965255102,0.6084543327551463,0.6079048219555694,0.01700105387104313,1.0000629548307023,-0.020743609897116128,-0.021293364244650375,-0.030555626515827567,-0.009815862701741132,-0.030187555558331792,-0.0254944223310518,-0.038766227502172686,-0.030028746421335763,-0.03919414185961126,-0.010842362633220255,-0.031721028000852684,-0.045911841803524964,-0.02178356768942962,-0.008709962120425642,-0.027557645990501683,0.47094225659746847,0.6367780165207508,0.5236229944585356,0.5937504445674789,0.5937504445674789,0.583592608198292,0.583592608198292,0.809095704611014,0.809095704611014,-0.06470473018134311,-0.06470473018134311,-0.06468796221717958,-0.06468796221717958,-0.04269633506454917,-0.04245805165122015,-0.042708735049075276,-0.054880027566777366,-0.05483650852172581,-0.04074817835608342,-0.03902326581944155,-0.040921189144478835,-0.054464271312944866,-0.05435374900177016,-0.024120188341659608,-0.008528235019723324,-0.0022002390257319284,-0.024372438157475015,-0.016205327341183372,-0.0012608383226904373,-0.06065227878281,-0.020423305821596786,-0.02112744809211885,-0.015055708411560453,-0.05972435552725029
SLAC_mean_dN/dS,0.04297669200758575,-0.008696281505711737,0.45731194352523297,0.6137468093272128,0.41065187185206964,0.6485242657819588,0.6162726952887342,-0.005728760249003546,-0.03411287840957966,-0.034028822733746335,-0.03410849743600454,-0.034113840653169705,-0.0340783492379823,-0.03408307268988214,-0.034125315906374375,-0.0028635687872409356,-0.020743609897116128,1.000062927855475,0.9736248280795807,0.5976628873136501,-0.02054720223923303,-0.06319055471864989,-0.05336658300198324,-0.08114798879552029,-0.06285812510401016,-0.08204372696041985,-0.02269593866022219,-0.06640051897366898,-0.0961056534078623,-0.04559878070903928,-0.018232259213721326,-0.05768545695974181,-0.030128033890172205,-0.03388889673005931,-0.03039448475112998,-0.03409950177539748,-0.03409950177539748,-0.034073311623018215,-0.034073311623018215,-0.027868604464032054,-0.027868604464032054,-0.13544414966554436,-0.13544414966554436,-0.13540904987235447,-0.13540904987235447,-0.08937474556258071,-0.08887595522364788,-0.08940070201669678,-0.11487844314583104,-0.11478734625021426,-0.08529673723067335,-0.08168603811921529,-0.08565889466570999,-0.11400815511417327,-0.11377680262395859,0.25882904284510805,0.08638923757760167,0.06325215921521671,0.25720714403219974,0.18239309005328777,0.05254048507965031,-0.12696129482329443,-0.04275139209471797,-0.044225348493379085,-0.03151558808298937,-0.12501890551184977
SLAC_mean_n,0.04793139956851789,-0.008744085542583149,0.4803400314135946,0.6307902988054589,0.4269574106978062,0.668385567284502,0.6267117074821746,-0.005880585841004697,-0.03501694975037266,-0.03493066640185114,-0.03501245267071565,-0.03501793749567625,-0.03498150547468821,-0.034986354109149145,-0.03502971687002332,-0.002939460080899913,-0.021293364244650375,0.9736248280795807,1.0000629649036328,0.6216141577129566,-0.021091751322864536,-0.06486525272695097,-0.054780922702927295,-0.08329860095296346,-0.06452401294731067,-0.0842180782815312,-0.023297434302095136,-0.06816028856851566,-0.0986526787831775,-0.046807255418185076,-0.01871545687400451,-0.0592142569569653,-0.030926497498769193,-0.03478703203066015,-0.03120000993290287,-0.03500321860398972,-0.03500321860398972,-0.03497633435110406,-0.03497633435110406,-0.02860718788995484,-0.02860718788995484,-0.1390337375191546,-0.1390337375191546,-0.1389977074990657,-0.1389977074990657,-0.09174338608255275,-0.09123137662897654,-0.09177003044362265,-0.11792299150894744,-0.11782948033179179,-0.08755730095876274,-0.08385090984653837,-0.08792905641581088,-0.1170296388018843,-0.11679215492769486,0.26646034256479567,0.08678676846223617,0.06895317487229566,0.264884313392513,0.18534728698412647,0.05924829726037233,-0.13032606711432126,-0.0438844043227624,-0.04539742402536408,-0.03235082513428635,-0.12833219992733472
SLAC_mean_s,0.31904389484708584,0.02158685355765318,0.8564321493877631,0.8801544956775991,0.8198859066848122,0.9488065754665115,0.8708569779542837,-0.008438543697816398,-0.05024874538389116,-0.05012493020176814,-0.05024229214875007,-0.050250162782111356,-0.05019788343283917,-0.05020484114332615,-0.050267065990031314,-0.004218076737814078,-0.030555626515827567,0.5976628873136501,0.6216141577129566,1.0000629074288214,-0.030266315298113328,-0.09308056788994365,-0.07860972061864735,-0.11953211858709296,-0.09259089443396813,-0.12085155338934775,-0.03343143399665894,-0.09780888998007153,-0.1415649670503339,-0.06716763956866663,-0.02685637195441447,-0.08497148215758524,-0.04437901386355506,-0.04991881724796124,-0.044771499695704375,-0.050229041415289284,-0.050229041415289284,-0.05019046295577925,-0.05019046295577925,-0.04105084282551417,-0.04105084282551417,-0.19951112036240082,-0.19951112036240082,-0.19945941787778923,-0.19945941787778923,-0.1316502459746409,-0.130915520852942,-0.1316884801933515,-0.1692175480012161,-0.16908336100420682,-0.12564328285991785,-0.12032467274056287,-0.1261767458097022,-0.1679356015999665,-0.1675948161571447,0.38907657573404036,0.16900026790865028,0.047245127524510676,0.38900399270525565,0.2578830312921743,0.03551779034095809,-0.18701575694044373,-0.06297339645109291,-0.06514455477124446,-0.04642290053017075,-0.18415459041045235
allergenicity_blast_score,-0.009892745588497268,-0.006956831354123675,-0.02630089272535044,-0.029842808786851173,-0.026322995481207246,-0.03089034083888208,-0.029735471464665455,-0.0027108456211003525,-0.016142191860066622,-0.016102416768972318,-0.01614011878622241,-0.016142647193106985,-0.016125852678541004,-0.016128087812905662,-0.01614807727545472,-0.0013550388862864316,-0.009815862701741132,-0.02054720223923303,-0.021091751322864536,-0.030266315298113328,1.0000629734443904,0.5271894066372296,0.06324244708738588,-0.03839917548054152,-0.029744423886201955,-0.03882303819715515,-0.010739703401713742,-0.03142068235965579,0.08652339281367183,0.13458534849737128,0.04352400579280701,0.11371889933156082,-0.014256566027133473,-0.016036203875102552,-0.014382650401111566,-0.01613586204547815,-0.01613586204547815,-0.01612346888241882,-0.01612346888241882,-0.013187405493298549,-0.013187405493298549,0.14940426660820944,0.14940426660820944,0.14910526706189892,0.14910526706189892,-0.04229207142809373,-0.042056044164362615,-0.04230435400528689,-0.05436040452467386,-0.05431729753296078,-0.0403623605397241,-0.03865378007030919,-0.04053373320226257,-0.05394858479454522,-0.05383910894675838,-0.02389181007368308,-0.008447486747151327,-0.002179406403253494,-0.024141671501181773,-0.01605188970886696,-0.0012489002702898548,0.13049037030842017,0.07740893395485604,0.07317136075842055,0.018735147024055432,0.1313806856322058
